P_in (dBm),VGS (V),PLoad [dBm],PAE [%],Best_Source_Mag,Best_Source_Ang,Best_Load_Mag,Best_Load_Ang,SP_It1_Point,SP_It1_Mag,SP_It1_Ang,LP_It1_Point,LP_It1_Mag,LP_It1_Ang,SP_It2_Point,SP_It2_Mag,SP_It2_Ang,LP_It2_Point,LP_It2_Mag,LP_It2_Ang
27,-2.80,36.857,42.161,0.8866582155737306,-61.34055212933692,0.747898884970115,-123.30070820555945,10.75,0.8541555596240371,-62.26899051613414,41.5,0.7482038372178255,-123.03093725432534,42.0,0.8866582155737306,-61.34055212933692,42.0,0.747898884970115,-123.30070820555945
27,-2.85,36.753,42.439,0.8609991108780987,-61.27593623237199,0.753064537472395,-123.2544896742556,10.75,0.8609991108780987,-61.27593623237199,42.0,0.753064537472395,-123.2544896742556,42.5,0.8783199146289077,-61.22699251572664,42.0,0.750655890458375,-124.16801553312432
27,-2.90,36.73,42.51,0.8785840229065914,-61.21458752668948,0.7484194996262351,-123.7861632254567,10.5,0.859959675812927,-61.53294027350256,42.0,0.7445261918011471,-123.81231325291307,42.5,0.8785840229065914,-61.21458752668948,42.5,0.7484194996262351,-123.7861632254567
28,-2.80,37.57,44.0,0.8723289380428838,-62.04790988776241,0.7305871543560123,-122.32856454654427,11.75,0.8614387733453279,-61.223997450654345,43.5,0.7173347339972963,-121.7756896908295,44.0,0.8723289380428838,-62.04790988776241,44.0,0.7305871543560123,-122.32856454654427
28,-2.85,37.56,43.61,0.8431907518651415,-63.70390139747276,0.7139445308787488,-121.03529826900169,11.5,0.8431907518651415,-63.70390139747276,43.5,0.7139445308787488,-121.03529826900169,43.5,0.8789677557234667,-62.56515463452063,43.5,0.730265975568936,-121.75123314886108
28,-2.90,37.55,44.2,0.8510592990453741,-62.5563918200702,0.7126837735492001,-121.13562971826603,11.5,0.8510592990453741,-62.5563918200702,43.5,0.7126837735492001,-121.13562971826603,43.5,0.8613567024479543,-64.14353595871312,43.5,0.7242398233478926,-122.08654646524818
29,-2.80,38.18,45.6,0.8510833418837721,-62.31889751341914,0.7166829251353217,-122.1987667483485,12.0,0.8475173218711706,-62.899382128899745,45.0,0.7100122282899608,-121.04329099446663,45.5,0.8510833418837721,-62.31889751341914,45.5,0.7166829251353217,-122.1987667483485
29,-2.85,38.19,45.94,0.848312007861104,-62.414587207396075,0.71066491042291,-120.9589414085659,12.0,0.848312007861104,-62.414587207396075,45.5,0.71066491042291,-120.9589414085659,45.5,0.9153086463639215,-62.46944988125925,45.0,0.7149309831848939,-122.27677580053933
29,-2.90,38.08,46.0,0.8471454419993529,-62.12663754942026,0.7196417289001708,-122.1806529981899,11.75,0.8467559495752375,-62.99088183261434,45.5,0.7092456537987418,-121.16374794990736,45.5,0.8471454419993529,-62.12663754942026,46.0,0.7196417289001708,-122.1806529981899
30,-2.80,38.64,46.66,0.8920606970615506,-59.473839847860795,0.6801670709531173,-122.74692493920948,12.0,0.8628266584106281,-68.4212493695105,45.0,0.7087690614630298,-121.05215115861877,47.0,0.8920606970615506,-59.473839847860795,46.5,0.6801670709531173,-122.74692493920948
30,-2.85,38.62,46.92,0.8883737057268313,-59.526783997647144,0.6871571302915293,-122.27477946258328,11.75,0.8439304521273363,-70.8520300765587,44.5,0.7114419150701867,-120.93120064400924,47.0,0.8883737057268313,-59.526783997647144,46.5,0.6871571302915293,-122.27477946258328
30,-2.90,38.81,47.44,0.8766064643819682,-61.866112938422496,0.6846693743457068,-121.1290125435394,11.75,0.8489950156673498,-70.72514306251423,44.5,0.7112805790944904,-120.95030373928799,47.0,0.8766064643819682,-61.866112938422496,47.5,0.6846693743457068,-121.1290125435394
